Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.12	2.58562	-391.207733	999.581421	58.577156	-384.827576	1003.785278	-21.080116	-366.900269	955.345215	32.55225	-360.915955	959.411682	30.016392	-294.099884	860.272522	265.370453	-445.167389	1192.047607	267.064209	-470.387054	1167.535156	242.83046	-392.844543	1204.727173	248.116669	-483.158691	1121.043701	225.569336	-403.798157	1158.768799
2	0.11	2.581999	-391.208191	999.579773	58.573437	-384.825897	1003.785767	-21.084341	-366.901093	955.344543	32.548668	-360.916656	959.411072	30.013975	-294.100342	860.272827	265.412079	-445.063538	1192.035645	267.114288	-470.286224	1167.523438	242.859879	-392.729279	1204.721802	248.167572	-483.097656	1121.051147	225.58725	-403.729736	1158.739746
3	0.1	2.578398	-391.208649	999.578125	58.569733	-384.824158	1003.786316	-21.088558	-366.901917	955.343933	32.545097	-360.917328	959.410522	30.01156	-294.100769	860.273132	265.454285	-444.956085	1192.024536	267.165192	-470.182068	1167.512573	242.889496	-392.609558	1204.717163	248.219299	-483.034424	1121.059937	225.605682	-403.659058	1158.709961
4	0.09	2.574816	-391.209045	999.576477	58.566051	-384.822388	1003.786804	-21.092768	-366.90271	955.343262	32.541542	-360.917969	959.409912	30.009148	-294.101166	860.273438	265.497131	-444.844971	1192.014038	267.216858	-470.074524	1167.502563	242.919327	-392.485382	1204.713379	248.271835	-482.969025	1121.069946	225.624649	-403.58609	1158.679688
5	0.08	2.571255	-391.209442	999.574829	58.562386	-384.820557	1003.787292	-21.09697	-366.903503	955.342651	32.538002	-360.91861	959.409302	30.006737	-294.101593	860.273743	265.540558	-444.730255	1192.004272	267.269348	-469.963654	1167.493408	242.949356	-392.356781	1204.710327	248.32518	-482.901428	1121.081177	225.64415	-403.510864	1158.648804
6	0.07	2.567714	-391.209808	999.573181	58.558743	-384.818695	1003.787781	-21.101166	-366.904297	955.34198	32.534473	-360.91922	959.40863	30.00433	-294.10199	860.273987	265.584564	-444.611877	1191.995239	267.322662	-469.849457	1167.485107	242.979614	-392.223724	1204.70813	248.379333	-482.831665	1121.09375	225.664169	-403.43335	1158.61731
7	0.06	2.564193	-391.210144	999.571472	58.555119	-384.816772	1003.788269	-21.105354	-366.90506	955.341309	32.53096	-360.91983	959.40802	30.001925	-294.102386	860.274231	265.629211	-444.489899	1191.987061	267.37674	-469.731903	1167.477661	243.010071	-392.086212	1204.706665	248.434296	-482.759705	1121.107666	225.684738	-403.353577	1158.585327
8	0.05	2.560692	-391.21048	999.569763	58.551514	-384.814789	1003.788696	-21.109535	-366.905823	955.340637	32.527458	-360.92041	959.407349	29.999521	-294.102753	860.274475	265.674438	-444.364288	1191.979492	267.431641	-469.611023	1167.471191	243.040756	-391.944305	1204.706055	248.490036	-482.685608	1121.122803	225.705826	-403.271515	1158.552734
9	0.04	2.55721	-391.210754	999.568054	58.547928	-384.812775	1003.789185	-21.11371	-366.906586	955.339966	32.523972	-360.92099	959.406677	29.997122	-294.103119	860.274719	265.720276	-444.235077	1191.972656	267.487335	-469.486816	1167.465454	243.071655	-391.797943	1204.706177	248.546585	-482.609314	1121.139282	225.727463	-403.187164	1158.519531
10	0.03	2.55375	-391.210999	999.566345	58.544361	-384.81073	1003.789612	-21.117878	-366.907318	955.339294	32.520496	-360.921539	959.405945	29.994724	-294.103485	860.274963	265.766693	-444.102234	1191.966675	267.543823	-469.359283	1167.460571	243.102768	-391.647156	1204.707153	248.603928	-482.530853	1121.156982	225.749634	-403.100525	1158.485718
